emotion,"emotion intensity",scrambling,gender,"top face","left face","right face",block,"correct answer"
fear,100,0,f,01F_FE_C100,02F_FE_C100,04F_HA_C100,1,left
fear,100,0,f,02F_FE_C100,03F_FE_C100,05F_HA_C100,1,left
fear,100,0,f,03F_FE_C100,04F_FE_C100,06F_HA_C100,1,left
fear,100,0,f,04F_FE_C100,08F_HA_C100,05F_FE_C100,1,right
fear,100,0,f,05F_FE_C100,07F_HA_C100,06F_FE_C100,1,right
fear,100,0,m,21M_FE_C100,22M_FE_C100,24M_HA_C100,1,left
fear,100,0,m,22M_FE_C100,23M_FE_C100,25M_HA_C100,1,left
fear,100,0,m,23M_FE_C100,26M_HA_C100,24M_FE_C100,1,right
fear,100,0,m,24M_FE_C100,28M_HA_C100,25M_FE_C100,1,right
fear,100,0,m,25M_FE_C100,27M_HA_C100,26M_FE_C100,1,right
fear,100,26,f,01F_FE_C100_cell26rand,01F_FE_C100_cell26rand,04F_HA_C100_cell26rand,2,left
fear,100,26,f,02F_FE_C100_cell26rand,02F_FE_C100_cell26rand,05F_HA_C100_cell26rand,2,left
fear,100,26,f,03F_FE_C100_cell26rand,03F_FE_C100_cell26rand,06F_HA_C100_cell26rand,2,left
fear,100,26,f,04F_FE_C100_cell26rand,08F_HA_C100_cell26rand,04F_FE_C100_cell26rand,2,right
fear,100,26,f,05F_FE_C100_cell26rand,07F_HA_C100_cell26rand,05F_FE_C100_cell26rand,2,right
fear,100,26,m,21M_FE_C100_cell26rand,21M_FE_C100_cell26rand,24M_HA_C100_cell26rand,2,left
fear,100,26,m,22M_FE_C100_cell26rand,22M_FE_C100_cell26rand,25M_HA_C100_cell26rand,2,left
fear,100,26,m,23M_FE_C100_cell26rand,26M_HA_C100_cell26rand,23M_FE_C100_cell26rand,2,right
fear,100,26,m,24M_FE_C100_cell26rand,28M_HA_C100_cell26rand,24M_FE_C100_cell26rand,2,right
fear,100,26,m,25M_FE_C100_cell26rand,27M_HA_C100_cell26rand,25M_FE_C100_cell26rand,2,right
fear,100,22,f,01F_FE_C100_cell22rand,01F_FE_C100_cell22rand,04F_HA_C100_cell22rand,2,left
fear,100,22,f,02F_FE_C100_cell22rand,02F_FE_C100_cell22rand,05F_HA_C100_cell22rand,2,left
fear,100,22,f,03F_FE_C100_cell22rand,03F_FE_C100_cell22rand,06F_HA_C100_cell22rand,2,left
fear,100,22,f,04F_FE_C100_cell22rand,08F_HA_C100_cell22rand,04F_FE_C100_cell22rand,2,right
fear,100,22,f,05F_FE_C100_cell22rand,07F_HA_C100_cell22rand,05F_FE_C100_cell22rand,2,right
fear,100,22,m,21M_FE_C100_cell22rand,21M_FE_C100_cell22rand,24M_HA_C100_cell22rand,2,left
fear,100,22,m,22M_FE_C100_cell22rand,22M_FE_C100_cell22rand,25M_HA_C100_cell22rand,2,left
fear,100,22,m,23M_FE_C100_cell22rand,26M_HA_C100_cell22rand,23M_FE_C100_cell22rand,2,right
fear,100,22,m,24M_FE_C100_cell22rand,28M_HA_C100_cell22rand,24M_FE_C100_cell22rand,2,right
fear,100,22,m,25M_FE_C100_cell22rand,27M_HA_C100_cell22rand,25M_FE_C100_cell22rand,2,right
fear,100,18,f,01F_FE_C100_cell18rand,01F_FE_C100_cell18rand,04F_HA_C100_cell18rand,2,left
fear,100,18,f,02F_FE_C100_cell18rand,02F_FE_C100_cell18rand,05F_HA_C100_cell18rand,2,left
fear,100,18,f,03F_FE_C100_cell18rand,03F_FE_C100_cell18rand,06F_HA_C100_cell18rand,2,left
fear,100,18,f,04F_FE_C100_cell18rand,08F_HA_C100_cell18rand,04F_FE_C100_cell18rand,2,right
fear,100,18,f,05F_FE_C100_cell18rand,07F_HA_C100_cell18rand,05F_FE_C100_cell18rand,2,right
fear,100,18,m,21M_FE_C100_cell18rand,21M_FE_C100_cell18rand,24M_HA_C100_cell18rand,2,left
fear,100,18,m,22M_FE_C100_cell18rand,22M_FE_C100_cell18rand,25M_HA_C100_cell18rand,2,left
fear,100,18,m,23M_FE_C100_cell18rand,26M_HA_C100_cell18rand,23M_FE_C100_cell18rand,2,right
fear,100,18,m,24M_FE_C100_cell18rand,28M_HA_C100_cell18rand,24M_FE_C100_cell18rand,2,right
fear,100,18,m,25M_FE_C100_cell18rand,27M_HA_C100_cell18rand,25M_FE_C100_cell18rand,2,right
happiness,100,0,f,01F_HA_C100,07F_HA_C100,03F_FE_C100,3,left
happiness,100,0,f,02F_HA_C100,03F_HA_C100,04F_FE_C100,3,left
happiness,100,0,f,03F_HA_C100,01F_FE_C100,08F_HA_C100,3,right
happiness,100,0,f,04F_HA_C100,07F_FE_C100,02F_HA_C100,3,right
happiness,100,0,f,05F_HA_C100,08F_FE_C100,01F_HA_C100,3,right
happiness,100,0,m,21M_HA_C100,27M_HA_C100,23M_FE_C100,3,left
happiness,100,0,m,22M_HA_C100,23M_HA_C100,24M_FE_C100,3,left
happiness,100,0,m,23M_HA_C100,28M_HA_C100,21M_FE_C100,3,left
happiness,100,0,m,24M_HA_C100,27M_FE_C100,22M_HA_C100,3,right
happiness,100,0,m,25M_HA_C100,28M_FE_C100,21M_HA_C100,3,right
happiness,100,26,f,01F_HA_C100_cell26rand,01F_HA_C100_cell26rand,03F_FE_C100_cell26rand,4,left
happiness,100,26,f,02F_HA_C100_cell26rand,02F_HA_C100_cell26rand,04F_FE_C100_cell26rand,4,left
happiness,100,26,f,03F_HA_C100_cell26rand,01F_FE_C100_cell26rand,03F_HA_C100_cell26rand,4,right
happiness,100,26,f,04F_HA_C100_cell26rand,07F_FE_C100_cell26rand,04F_HA_C100_cell26rand,4,right
happiness,100,26,f,05F_HA_C100_cell26rand,08F_FE_C100_cell26rand,05F_HA_C100_cell26rand,4,right
happiness,100,26,m,21M_HA_C100_cell26rand,21M_HA_C100_cell26rand,23M_FE_C100_cell26rand,4,left
happiness,100,26,m,22M_HA_C100_cell26rand,22M_HA_C100_cell26rand,24M_FE_C100_cell26rand,4,left
happiness,100,26,m,23M_HA_C100_cell26rand,23M_HA_C100_cell26rand,21M_FE_C100_cell26rand,4,left
happiness,100,26,m,24M_HA_C100_cell26rand,27M_FE_C100_cell26rand,24M_HA_C100_cell26rand,4,right
happiness,100,26,m,25M_HA_C100_cell26rand,28M_FE_C100_cell26rand,25M_HA_C100_cell26rand,4,right
happiness,100,22,f,01F_HA_C100_cell22rand,01F_HA_C100_cell22rand,03F_FE_C100_cell22rand,4,left
happiness,100,22,f,02F_HA_C100_cell22rand,02F_HA_C100_cell22rand,04F_FE_C100_cell22rand,4,left
happiness,100,22,f,03F_HA_C100_cell22rand,01F_FE_C100_cell22rand,03F_HA_C100_cell22rand,4,right
happiness,100,22,f,04F_HA_C100_cell22rand,07F_FE_C100_cell22rand,04F_HA_C100_cell22rand,4,right
happiness,100,22,f,05F_HA_C100_cell22rand,08F_FE_C100_cell22rand,05F_HA_C100_cell22rand,4,right
happiness,100,22,m,21M_HA_C100_cell22rand,21M_HA_C100_cell22rand,23M_FE_C100_cell22rand,4,left
happiness,100,22,m,22M_HA_C100_cell22rand,22M_HA_C100_cell22rand,24M_FE_C100_cell22rand,4,left
happiness,100,22,m,23M_HA_C100_cell22rand,23M_HA_C100_cell22rand,21M_FE_C100_cell22rand,4,left
happiness,100,22,m,24M_HA_C100_cell22rand,27M_FE_C100_cell22rand,24M_HA_C100_cell22rand,4,right
happiness,100,22,m,25M_HA_C100_cell22rand,28M_FE_C100_cell22rand,25M_HA_C100_cell22rand,4,right
happiness,100,18,f,01F_HA_C100_cell18rand,01F_HA_C100_cell18rand,03F_FE_C100_cell18rand,4,left
happiness,100,18,f,02F_HA_C100_cell18rand,02F_HA_C100_cell18rand,04F_FE_C100_cell18rand,4,left
happiness,100,18,f,03F_HA_C100_cell18rand,01F_FE_C100_cell18rand,03F_HA_C100_cell18rand,4,right
happiness,100,18,f,04F_HA_C100_cell18rand,07F_FE_C100_cell18rand,04F_HA_C100_cell18rand,4,right
happiness,100,18,f,05F_HA_C100_cell18rand,08F_FE_C100_cell18rand,05F_HA_C100_cell18rand,4,right
happiness,100,18,m,21M_HA_C100_cell18rand,21M_HA_C100_cell18rand,23M_FE_C100_cell18rand,4,left
happiness,100,18,m,22M_HA_C100_cell18rand,22M_HA_C100_cell18rand,24M_FE_C100_cell18rand,4,left
happiness,100,18,m,23M_HA_C100_cell18rand,23M_HA_C100_cell18rand,21M_FE_C100_cell18rand,4,left
happiness,100,18,m,24M_HA_C100_cell18rand,27M_FE_C100_cell18rand,24M_HA_C100_cell18rand,4,right
happiness,100,18,m,25M_HA_C100_cell18rand,28M_FE_C100_cell18rand,25M_HA_C100_cell18rand,4,right
fear,40,0,f,06F_FE_C100,01F_FE_C040_cell14rand,07F_HA_C040_cell14rand,5,left
fear,40,0,f,07F_FE_C100,08F_FE_C040_cell14rand,04F_HA_C040_cell14rand,5,left
fear,40,0,f,08F_FE_C100,06F_FE_C040_cell14rand,02F_HA_C040_cell14rand,5,left
fear,40,0,f,01F_FE_C100,06F_HA_C040_cell14rand,05F_FE_C040_cell14rand,5,right
fear,40,0,f,02F_FE_C100,08F_HA_C040_cell14rand,05F_FE_C040_cell14rand,5,right
fear,40,0,m,26M_FE_C100,21M_FE_C040_cell14rand,27M_HA_C040_cell14rand,5,left
fear,40,0,m,27M_FE_C100,28M_FE_C040_cell14rand,24M_HA_C040_cell14rand,5,left
fear,40,0,m,28M_FE_C100,22M_HA_C040_cell14rand,26M_FE_C040_cell14rand,5,right
fear,40,0,m,21M_FE_C100,26M_HA_C040_cell14rand,25M_FE_C040_cell14rand,5,right
fear,40,0,m,22M_FE_C100,28M_HA_C040_cell14rand,25M_FE_C040_cell14rand,5,right
fear,40,14,f,06F_FE_C100_cell14rand,06F_FE_C100_cell14rand,07F_HA_C040_cell14rand,6,left
fear,40,14,f,07F_FE_C100_cell14rand,07F_FE_C100_cell14rand,04F_HA_C040_cell14rand,6,left
fear,40,14,f,08F_FE_C100_cell14rand,08F_FE_C100_cell14rand,02F_HA_C040_cell14rand,6,left
fear,40,14,f,01F_FE_C100_cell14rand,06F_HA_C040_cell14rand,01F_FE_C100_cell14rand,6,right
fear,40,14,f,02F_FE_C100_cell14rand,08F_HA_C040_cell14rand,02F_FE_C100_cell14rand,6,right
fear,40,14,m,26M_FE_C100_cell14rand,26M_FE_C100_cell14rand,27M_HA_C040_cell14rand,6,left
fear,40,14,m,27M_FE_C100_cell14rand,27M_FE_C100_cell14rand,24M_HA_C040_cell14rand,6,left
fear,40,14,m,28M_FE_C100_cell14rand,22M_HA_C040_cell14rand,28M_FE_C100_cell14rand,6,right
fear,40,14,m,21M_FE_C100_cell14rand,26M_HA_C040_cell14rand,21M_FE_C100_cell14rand,6,right
fear,40,14,m,22M_FE_C100_cell14rand,28M_HA_C040_cell14rand,22M_FE_C100_cell14rand,6,right
fear,40,10,f,06F_FE_C100_cell10rand,06F_FE_C100_cell10rand,07F_HA_C040_cell10rand,6,left
fear,40,10,f,07F_FE_C100_cell10rand,07F_FE_C100_cell10rand,04F_HA_C040_cell10rand,6,left
fear,40,10,f,08F_FE_C100_cell10rand,08F_FE_C100_cell10rand,02F_HA_C040_cell10rand,6,left
fear,40,10,f,01F_FE_C100_cell10rand,06F_HA_C040_cell10rand,01F_FE_C100_cell10rand,6,right
fear,40,10,f,02F_FE_C100_cell10rand,08F_HA_C040_cell10rand,02F_FE_C100_cell10rand,6,right
fear,40,10,m,26M_FE_C100_cell10rand,26M_FE_C100_cell10rand,27M_HA_C040_cell10rand,6,left
fear,40,10,m,27M_FE_C100_cell10rand,27M_FE_C100_cell10rand,24M_HA_C040_cell10rand,6,left
fear,40,10,m,28M_FE_C100_cell10rand,22M_HA_C040_cell10rand,28M_FE_C100_cell10rand,6,right
fear,40,10,m,21M_FE_C100_cell10rand,26M_HA_C040_cell10rand,21M_FE_C100_cell10rand,6,right
fear,40,10,m,22M_FE_C100_cell10rand,28M_HA_C040_cell10rand,22M_FE_C100_cell10rand,6,right
fear,40,6,f,06F_FE_C100_cell6rand,06F_FE_C100_cell6rand,07F_HA_C040_cell6rand,6,left
fear,40,6,f,07F_FE_C100_cell6rand,07F_FE_C100_cell6rand,04F_HA_C040_cell6rand,6,left
fear,40,6,f,08F_FE_C100_cell6rand,08F_FE_C100_cell6rand,02F_HA_C040_cell6rand,6,left
fear,40,6,f,01F_FE_C100_cell6rand,06F_HA_C040_cell6rand,01F_FE_C100_cell6rand,6,right
fear,40,6,f,02F_FE_C100_cell6rand,08F_HA_C040_cell6rand,02F_FE_C100_cell6rand,6,right
fear,40,6,m,26M_FE_C100_cell6rand,26M_FE_C100_cell6rand,27M_HA_C040_cell6rand,6,left
fear,40,6,m,27M_FE_C100_cell6rand,27M_FE_C100_cell6rand,24M_HA_C040_cell6rand,6,left
fear,40,6,m,28M_FE_C100_cell6rand,22M_HA_C040_cell6rand,28M_FE_C100_cell6rand,6,right
fear,40,6,m,21M_FE_C100_cell6rand,26M_HA_C040_cell6rand,21M_FE_C100_cell6rand,6,right
fear,40,6,m,22M_FE_C100_cell6rand,28M_HA_C040_cell6rand,22M_FE_C100_cell6rand,6,right
happiness,40,0,f,06F_HA_C100,04F_HA_C040,04F_FE_C040,7,left
happiness,40,0,f,07F_HA_C100,04F_HA_C040,03F_FE_C040,7,left
happiness,40,0,f,08F_HA_C100,07F_FE_C040,01F_HA_C040,7,right
happiness,40,0,f,05F_HA_C100,07F_FE_C040,03F_HA_C040,7,right
happiness,40,0,f,06F_HA_C100,02F_FE_C040,03F_HA_C040,7,right
happiness,40,0,m,26M_HA_C100,24M_HA_C040,24M_FE_C040,7,left
happiness,40,0,m,27M_HA_C100,24M_HA_C040,23M_FE_C040,7,left
happiness,40,0,m,28M_HA_C100,21M_HA_C040,27M_FE_C040,7,left
happiness,40,0,m,25M_HA_C100,27M_FE_C040,23M_HA_C040,7,right
happiness,40,0,m,26M_HA_C100,22M_FE_C040,23M_HA_C040,7,right
happiness,40,14,f,06F_HA_C100_cell14rand,06F_HA_C100_cell14rand,04F_FE_C040_cell14rand,8,left
happiness,40,14,f,07F_HA_C100_cell14rand,07F_HA_C100_cell14rand,03F_FE_C040_cell14rand,8,left
happiness,40,14,f,08F_HA_C100_cell14rand,07F_FE_C040_cell14rand,08F_HA_C100_cell14rand,8,right
happiness,40,14,f,05F_HA_C100_cell14rand,07F_FE_C040_cell14rand,05F_HA_C100_cell14rand,8,right
happiness,40,14,f,06F_HA_C100_cell14rand,02F_FE_C040_cell14rand,06F_HA_C100_cell14rand,8,right
happiness,40,14,m,26M_HA_C100_cell14rand,26M_HA_C100_cell14rand,24M_FE_C040_cell14rand,8,left
happiness,40,14,m,27M_HA_C100_cell14rand,27M_HA_C100_cell14rand,23M_FE_C040_cell14rand,8,left
happiness,40,14,m,28M_HA_C100_cell14rand,28M_HA_C100_cell14rand,27M_FE_C040_cell14rand,8,left
happiness,40,14,m,25M_HA_C100_cell14rand,27M_FE_C040_cell14rand,25M_HA_C100_cell14rand,8,right
happiness,40,14,m,26M_HA_C100_cell14rand,22M_FE_C040_cell14rand,26M_HA_C100_cell14rand,8,right
happiness,40,10,f,06F_HA_C100_cell10rand,06F_HA_C100_cell10rand,04F_FE_C040_cell10rand,8,left
happiness,40,10,f,07F_HA_C100_cell10rand,07F_HA_C100_cell10rand,03F_FE_C040_cell10rand,8,left
happiness,40,10,f,08F_HA_C100_cell10rand,07F_FE_C040_cell10rand,08F_HA_C100_cell10rand,8,right
happiness,40,10,f,05F_HA_C100_cell10rand,07F_FE_C040_cell10rand,05F_HA_C100_cell10rand,8,right
happiness,40,10,f,06F_HA_C100_cell10rand,02F_FE_C040_cell10rand,06F_HA_C100_cell10rand,8,right
happiness,40,10,m,26M_HA_C100_cell10rand,26M_HA_C100_cell10rand,24M_FE_C040_cell10rand,8,left
happiness,40,10,m,27M_HA_C100_cell10rand,27M_HA_C100_cell10rand,23M_FE_C040_cell10rand,8,left
happiness,40,10,m,28M_HA_C100_cell10rand,28M_HA_C100_cell10rand,27M_FE_C040_cell10rand,8,left
happiness,40,10,m,25M_HA_C100_cell10rand,27M_FE_C040_cell10rand,25M_HA_C100_cell10rand,8,right
happiness,40,10,m,26M_HA_C100_cell10rand,22M_FE_C040_cell10rand,26M_HA_C100_cell10rand,8,right
happiness,40,6,f,06F_HA_C100_cell6rand,06F_HA_C100_cell6rand,04F_FE_C040_cell6rand,8,left
happiness,40,6,f,07F_HA_C100_cell6rand,07F_HA_C100_cell6rand,03F_FE_C040_cell6rand,8,left
happiness,40,6,f,08F_HA_C100_cell6rand,07F_FE_C040_cell6rand,08F_HA_C100_cell6rand,8,right
happiness,40,6,f,05F_HA_C100_cell6rand,07F_FE_C040_cell6rand,05F_HA_C100_cell6rand,8,right
happiness,40,6,f,06F_HA_C100_cell6rand,02F_FE_C040_cell6rand,06F_HA_C100_cell6rand,8,right
happiness,40,6,m,26M_HA_C100_cell6rand,26M_HA_C100_cell6rand,24M_FE_C040_cell6rand,8,left
happiness,40,6,m,27M_HA_C100_cell6rand,27M_HA_C100_cell6rand,23M_FE_C040_cell6rand,8,left
happiness,40,6,m,28M_HA_C100_cell6rand,28M_HA_C100_cell6rand,27M_FE_C040_cell6rand,8,left
happiness,40,6,m,25M_HA_C100_cell6rand,27M_FE_C040_cell6rand,25M_HA_C100_cell6rand,8,right
happiness,40,6,m,26M_HA_C100_cell6rand,22M_FE_C040_cell6rand,26M_HA_C100_cell6rand,8,right
